s, n, base, ilp_t, ilp_st, ilp_cost, our_t, our_st, our_cost
3, 6, 10, 304.33868, 304.33868, 0.45325636863708496, 321.0, 321.0, 0.0027167797088623047
3, 6, 10, 263.15514, 263.15514, 1.6002471446990967, 270.0, 270.0, 0.002371072769165039
3, 6, 10, 368.84673, 368.84673, 30.18102788925171, 384.0, 356.0, 0.0029633045196533203
3, 6, 10, 213.28692, 213.28692, 30.18661618232727, 224.0, 218.0, 0.0020148754119873047
3, 6, 10, 316.41125, 316.41125, 30.251392126083374, 329.0, 318.0, 0.002537965774536133
3, 6, 15, 469.60766, 469.60766, 0.4029541015625, 483.0, 483.0, 0.003931760787963867
3, 6, 15, 547.86521, 547.86521, 30.195551872253418, 559.0, 540.0, 0.004159450531005859
3, 6, 15, 476.05292, 476.05292, 30.62778091430664, 487.0, 438.0, 0.003584146499633789
3, 6, 15, 484.56013, 484.56013, 30.292216062545776, 498.0, 476.0, 0.0038530826568603516
3, 6, 15, 547.9532, 547.9532, 30.593947172164917, 563.0, 510.0, 0.003984689712524414
3, 6, 20, 530.94404, 530.94404, 0.3989379405975342, 547.0, 547.0, 0.004104137420654297
3, 6, 20, 625.76677, 625.76677, 30.438534021377563, 638.0, 609.0, 0.004987955093383789
3, 6, 20, 535.97441, 535.97441, 30.195369958877563, 548.0, 516.0, 0.003900766372680664
3, 6, 20, 564.05977, 564.05977, 30.297677040100098, 572.0, 541.0, 0.004111051559448242
3, 6, 20, 628.12734, 628.12734, 30.208505868911743, 640.0, 600.0, 0.004522800445556641
3, 6, 25, 839.39814, 839.39814, 30.212332725524902, 845.0, 806.0, 0.00593113899230957
3, 6, 25, 913.01876, 913.01876, 30.21058416366577, 925.0, 862.0, 0.006416797637939453
3, 6, 25, 663.66645, 663.66645, 30.2900390625, 675.0, 644.0, 0.0048389434814453125
3, 6, 25, 873.29489, 873.29489, 30.3801429271698, 887.0, 810.0, 0.005949974060058594
3, 6, 25, 707.25733, 707.25733, 30.1956467628479, 719.0, 660.0, 0.0053310394287109375
3, 6, 30, 926.3291, 926.3291, 0.1674492359161377, 941.0, 941.0, 0.0065610408782958984
3, 6, 30, 801.96649, 801.96649, 8.28580093383789, 817.0, 800.0, 0.005921125411987305
3, 6, 30, 872.59646, 872.59646, 30.234286069869995, 884.0, 806.0, 0.006071805953979492
3, 6, 30, 902.92818, 902.92818, 1.0590829849243164, 915.0, 908.0, 0.00629878044128418
3, 6, 30, 770.10064, 770.10064, 30.219055891036987, 777.0, 736.0, 0.0053920745849609375
4, 12, 10, 715.00703, 715.00703, 30.546394109725952, 743.0, 666.0, 0.007570981979370117
4, 12, 10, 643.33578, 643.33578, 30.63380193710327, 656.0, 615.0, 0.0068700313568115234
4, 12, 10, 634.724, 634.724, 30.538349151611328, 655.0, 629.0, 0.007216930389404297
4, 12, 10, 554.02278, 554.02278, 19.89925217628479, 576.0, 576.0, 0.006342887878417969
4, 12, 10, 676.48364, 676.48364, 30.54837203025818, 697.0, 660.0, 0.007043123245239258
4, 12, 15, 845.19122, 845.19122, 30.527042150497437, 864.0, 864.0, 0.008577585220336914
4, 12, 15, 755.66349, 755.66349, 30.627025842666626, 784.0, 716.0, 0.008551359176635742
4, 12, 15, 896.68978, 896.68978, 30.57235097885132, 915.0, 816.0, 0.009006738662719727
4, 12, 15, 1041.9053, 1041.9053, 30.542596101760864, 1072.0, 996.0, 0.01026773452758789
4, 12, 15, 921.67603, 921.67603, 30.563130140304565, 946.0, 869.0, 0.009444952011108398
4, 12, 20, 1365.7721, 1365.7721, 30.52082395553589, 1382.0, 1236.0, 0.012562036514282227
4, 12, 20, 1264.7071, 1264.7071, 30.62894582748413, 1291.0, 1164.0, 0.011601924896240234
4, 12, 20, 1096.259, 1096.259, 30.523229837417603, 1110.0, 1090.0, 0.010792970657348633
4, 12, 20, 1318.8405, 1318.8405, 30.535980939865112, 1332.0, 1212.0, 0.012146234512329102
4, 12, 20, 1045.2928, 1045.2928, 30.52480411529541, 1062.0, 957.0, 0.010203838348388672
4, 12, 25, 1292.5796, 1292.5796, 30.562677145004272, 1307.0, 1188.0, 0.011994123458862305
4, 12, 25, 1379.3002, 1379.3002, 30.54146099090576, 1396.0, 1250.0, 0.01266026496887207
4, 12, 25, 1475.0374, 1475.0374, 30.564389944076538, 1481.0, 1462.0, 0.013839006423950195
4, 12, 25, 1342.594, 1342.594, 30.66779613494873, 1362.0, 1248.0, 0.012732744216918945
4, 12, 25, 1277.6622, 1277.6622, 30.564137935638428, 1305.0, 1212.0, 0.012248039245605469
4, 12, 30, 1975.4862, 1975.4862, 30.5538649559021, 1996.0, 1860.0, 0.017795085906982422
4, 12, 30, 1492.9101, 1492.9101, 30.546690940856934, 1518.0, 1380.0, 0.01368403434753418
4, 12, 30, 1703.5485, 1703.5485, 30.543916940689087, 1730.0, 1608.0, 0.015680789947509766
4, 12, 30, 1834.3354, 1834.3354, 30.556751251220703, 1857.0, 1740.0, 0.016647815704345703
4, 12, 30, 1806.4209, 1806.4209, 30.578697204589844, 1840.0, 1728.0, 0.017596006393432617
6, 18, 10, 916.54778, 916.54778, 31.962079286575317, 944.0, 877.0, 0.014479875564575195
6, 18, 10, 1106.9856, 1106.9856, 31.934723138809204, 1133.0, 972.0, 0.01624608039855957
6, 18, 10, 972.40264, 972.40264, 31.969997882843018, 985.0, 985.0, 0.014897823333740234
6, 18, 10, 978.30923, 978.30923, 32.025872707366943, 1008.0, 918.0, 0.014978170394897461
6, 18, 10, 1123.5653, 1123.5653, 32.002897024154663, 1165.0, 1116.0, 0.016691923141479492
6, 18, 15, 1091.0094, 1091.0094, 31.909584045410156, 1130.0, 1062.0, 0.017585277557373047
6, 18, 15, 1113.6037, 1113.6037, 31.841296195983887, 1159.0, 1116.0, 0.017018795013427734
6, 18, 15, 1590.8422, 1590.8422, 31.876589059829712, 1630.0, 1494.0, 0.022723913192749023
6, 18, 15, 1412.1482, 1412.1482, 32.06676983833313, 1440.0, 1348.0, 0.02032303810119629
6, 18, 15, 1421.236, 1421.236, 31.893249034881592, 1460.0, 1341.0, 0.021106958389282227
6, 18, 20, 1839.4935, 1839.4935, 41.87096810340881, 1878.0, 1668.0, 0.025574922561645508
6, 18, 20, 1428.6057, 1428.6057, 31.84482979774475, 1452.0, 1314.0, 0.020440101623535156
6, 18, 20, 1805.0296, 1805.0296, 31.950267791748047, 1842.0, 1698.0, 0.024524211883544922
6, 18, 20, 1536.373, 1536.373, 31.88101577758789, 1575.0, 1418.0, 0.022051095962524414
6, 18, 20, 1652.0874, 1652.0874, 32.077170848846436, 1686.0, 1568.0, 0.023951292037963867
6, 18, 25, 2466.6617, 2466.6617, 31.964773893356323, 2514.0, 2250.0, 0.0326390266418457
6, 18, 25, 2039.1775, 2039.1775, 31.852559089660645, 2082.0, 1890.0, 0.02878594398498535
6, 18, 25, 2265.7332, 2265.7332, 31.89026403427124, 2287.0, 2115.0, 0.031171083450317383
6, 18, 25, 2296.6808, 2296.6808, 31.873774766921997, 2321.0, 2214.0, 0.03214311599731445
6, 18, 25, 2282.785, 2282.785, 42.21528697013855, 2310.0, 2115.0, 0.03127312660217285
6, 18, 30, 2575.5554, 2575.5554, 32.641740798950195, 2598.0, 2466.0, 0.04813027381896973
6, 18, 30, 2627.5381, 2627.5381, 31.961819887161255, 2666.0, 2466.0, 0.035404205322265625
6, 18, 30, 2956.3972, 2956.3972, 31.875680923461914, 2989.0, 2790.0, 0.03965497016906738
6, 18, 30, 2162.5838, 2162.5838, 32.053303241729736, 2193.0, 2004.0, 0.029825925827026367
6, 18, 30, 3063.4131, 3063.4131, 31.95708203315735, 3106.0, 2862.0, 0.04034590721130371
8, 32, 10, 1607.1839, 1607.1839, 19.550641775131226, 1650.0, 1504.0, 0.033266305923461914
8, 32, 10, 2023.078, 2023.078, 19.9478919506073, 2069.0, 1888.0, 0.03852200508117676
8, 32, 10, 1795.254, 1795.254, 19.977553129196167, 1832.0, 1696.0, 0.034121036529541016
8, 32, 10, 1737.5315, 1737.5315, 19.989969968795776, 1822.0, 1764.0, 0.0354459285736084
8, 32, 10, 1413.221, 1413.221, 19.93806004524231, 1463.0, 1400.0, 0.029994964599609375
8, 32, 15, 2421.1968, 2421.1968, 41.21607518196106, 2483.0, 2368.0, 0.046167850494384766
8, 32, 15, 2487.8367, 2487.8367, 40.50360608100891, 2547.0, 2374.0, 0.04795694351196289
8, 32, 15, 2151.9659, 2151.9659, 41.73592400550842, 2180.0, 2048.0, 0.04372811317443848
8, 32, 15, 2236.5068, 2236.5068, 45.19629120826721, 2278.0, 2054.0, 0.04409909248352051
8, 32, 15, 2286.3245, 2286.3245, 40.34208703041077, 2329.0, 2272.0, 0.04723477363586426
8, 32, 20, 3663.8378, 3663.8378, 40.32633709907532, 3710.0, 3552.0, 0.06611800193786621
8, 32, 20, 3715.6665, 3715.6665, 40.64514207839966, 3761.0, 3616.0, 0.06889009475708008
8, 32, 20, 2701.6707, 2701.6707, 39.719000816345215, 2733.0, 2528.0, 0.051400184631347656
8, 32, 20, 3479.7643, 3479.7643, 39.8825249671936, 3522.0, 3378.0, 0.0641179084777832
8, 32, 20, 2493.0603, 2493.0603, 41.149593114852905, 2542.0, 2368.0, 0.04697299003601074
8, 32, 25, 4249.0541, 4249.0541, 39.526150941848755, 4316.0, 4128.0, 0.07652115821838379
8, 32, 25, 4068.307, 4068.307, 39.62362623214722, 4091.0, 3782.0, 0.07172179222106934
8, 32, 25, 3998.5339, 3998.5339, 39.39442777633667, 4034.0, 3840.0, 0.07287716865539551
8, 32, 25, 4142.5387, 4142.5387, 39.555330991744995, 4149.0, 4000.0, 0.07347893714904785
8, 32, 25, 4138.3164, 4138.3164, 40.21789312362671, 4172.0, 3936.0, 0.07637500762939453
8, 32, 30, 4736.8761, 4736.8761, 39.93666911125183, 4810.0, 4448.0, 0.08965301513671875
8, 32, 30, 5190.4998, 5190.4998, 39.62606477737427, 5223.0, 4992.0, 0.09100532531738281
8, 32, 30, 3811.4849, 3811.4849, 40.63689613342285, 3890.0, 3644.0, 0.0708611011505127
8, 32, 30, 4745.4886, 4745.4886, 40.81328988075256, 4822.0, 4608.0, 0.08318805694580078
8, 32, 30, 4315.5297, 4315.5297, 39.55307197570801, 4385.0, 4000.0, 0.07539200782775879
